status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
210623000268_10150669752195269,There's nothing like love to make life beautiful :) Write to us about your own version of 'What is Love?' We wish you all a very Happy Valentine's Day! Hit Share to spread the joy.,Happy Valentine's Day!,photo,https://www.facebook.com/JustDial/photos/a.10150669751755269.455825.210623000268/10150669752195269/?type=3,2012-02-14 02:04:00,89,11,93,89,0,0,0,0,0
210623000268_10150669752170269,There's nothing like love to make life beautiful :) Write to us about your own version of 'What is Love?' We wish you all a very Happy Valentine's Day! Hit Share to spread the joy.,Happy Valentine's Day!,photo,https://www.facebook.com/JustDial/photos/a.10150669751755269.455825.210623000268/10150669752170269/?type=3,2012-02-14 02:04:00,106,54,106,106,0,0,0,0,0
210623000268_10150669754530269,There's nothing like love to make life beautiful :) Write to us about your own version of 'What is Love?' We wish you all a very Happy Valentine's Day! Hit Share to spread the joy.,Happy Valentine's Day!,photo,https://www.facebook.com/JustDial/photos/a.10150669751755269.455825.210623000268/10150669752160269/?type=3,2012-02-14 02:03:59,649,49,83,649,0,0,0,0,0
210623000268_10150651252705269,What is your favourite travel destination in India?,,status,,2012-02-07 06:01:30,2,0,0,2,0,0,0,0,0
210623000268_10150649012170269,"Check out the hottest movies @ http://tinyurl.com/6fpltnx . 
Visit http://movies.justdial.com/ to find a theatre near you!","JD Movie Trends February 06, 2012",photo,https://www.facebook.com/JustDial/photos/a.10150649009125269.453732.210623000268/10150649009310269/?type=3,2012-02-06 09:03:42,43,19,6,43,0,0,0,0,0
210623000268_10150649012180269,"Check out the hottest movies @ http://tinyurl.com/6fpltnx . 
Visit http://movies.justdial.com/ to find a theatre near you!","JD Movie Trends February 06, 2012",photo,https://www.facebook.com/JustDial/photos/a.10150649009125269.453732.210623000268/10150649009340269/?type=3,2012-02-06 09:03:42,31,31,5,31,0,0,0,0,0
210623000268_10150649012165269,"Check out the hottest movies @ http://tinyurl.com/6fpltnx . 
Visit http://movies.justdial.com/ to find a theatre near you!","JD Movie Trends February 06, 2012",photo,https://www.facebook.com/JustDial/photos/a.10150649009125269.453732.210623000268/10150649009185269/?type=3,2012-02-06 09:03:42,7,3,1,7,0,0,0,0,0
210623000268_10150641357560269,"Le Mill, Mumbai

Mumbai's most anticipated retail space for flowers, furnishing and fashion, Le Mill is a multifunctional, lifestyle concept store. 

Discover your one stop shopping destination near you @ http://lifestyle.justdial.com/",Shop in Style!,photo,https://www.facebook.com/JustDial/photos/a.10150641355665269.452809.210623000268/10150641355925269/?type=3,2012-02-03 05:43:24,36,3,8,36,0,0,0,0,0
210623000268_10150641357565269,"Kitsch, New Delhi

An irrefutable choice when it comes to shopping for designer outfits, scintillating range of western dresses, chic tees and other eye catching apparels, at Kitsch in Delhi, you can also get accessories like bags and cases, belts, eye wear, footwear, ties, wallets and watches.

Discover your one stop shopping destination near you @ http://lifestyle.justdial.com/",Shop in Style!,photo,https://www.facebook.com/JustDial/photos/a.10150641355665269.452809.210623000268/10150641356060269/?type=3,2012-02-03 05:43:24,42,4,9,42,0,0,0,0,0
210623000268_10150641357550269,"The Collective, Bangalore

The Collective is a one of its kind, super-premium retail concept, known for its breadth of exclusive fashion. With over 100 of the world's best fashion brands under one roof, this unique lifestyle store offers all connoisseurs a unique point of view on each individual's own personal style.

Discover your one stop shopping destination near you @ http://lifestyle.justdial.com/",Shop in Style!,photo,https://www.facebook.com/JustDial/photos/a.10150641355665269.452809.210623000268/10150641355720269/?type=3,2012-02-03 05:43:23,36,6,7,36,0,0,0,0,0
