status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
102988293558_10152786525868559,Today is the last day of #AccessoriesCarnival! Browse through an amazing collection of accessories at amazing prices! http://bit.ly/LastDay_AccessoriesCarnival,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152786523823559/?type=3,2014-11-13 02:08:09,109,23,0,109,0,0,0,0,0
102988293558_10152785224703559,Introducing the Fastrack Extreme Collection! Move fast & preorder now: http://bit.ly/Fastrack_Extreme,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152784999498559/?type=3,2014-11-12 09:30:01,275,34,7,275,0,0,0,0,0
102988293558_10152785071638559,"Drop on by to our Accessories Carnival! Tons of great offers on pendrives, powerbanks & more. Shop Now: http://bit.ly/Carnival_Accessories",Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152785036758559/?type=3,2014-11-12 07:37:34,106,21,1,106,0,0,0,0,0
102988293558_10152784724078559,The Lenovo Vibe X2 is off the shelves now but will be coming back soon! Thank you for the overwhelming response.,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152784721278559/?type=3,2014-11-12 03:04:15,5658,70,125,5658,0,0,0,0,0
102988293558_10152784558408559,"We've got clicking on Instagram! Follow us to get a glimpse inside our culture, office life and much more. http://bit.ly/FlipkartInstagram",Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152784557823559/?type=3,2014-11-12 00:00:14,1420,137,3,1420,0,0,0,0,0
102988293558_10152783235148559,,Flipkart Fashion,photo,https://www.facebook.com/181628188660262/photos/a.184353028387778.1073741828.181628188660262/379769655512780/?type=3,2014-11-11 08:35:07,141,55,0,141,0,0,0,0,0
102988293558_10152782857693559,Introducing the world's first multi-mode tablet! It adapts according to your needs!,Buy Lenovo Yoga Tablet 2 now on Flipkart!,link,http://dl.flipkart.com/dl/lenovo-yoga-2?cmpid=content_tablets_yoga2_nov2014_pagepost_fb,2014-11-11 07:30:01,2239,152,31,2239,0,0,0,0,0
102988293558_10152782858963559,It's time to get the real deal. Accessories Carnival is here. Check it out!,Grab great offers on Electronic Accessories on Flipkart!,link,http://dl.flipkart.com/dl/accessories-electronics?cmpid=content_ccc_accessorycarnival_post1_nov2014_pagepost_fb,2014-11-11 05:30:00,140,65,3,140,0,0,0,0,0
102988293558_10152782913763559,It's 11/11! No coincidence we're having a #FlipkartSinglesDay contest on Twitter. 20 Rs. 500 voucher up for grabs! #AllThose1s Participate here: http://bit.ly/FlipkartSinglesDay,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152782912943559/?type=3,2014-11-11 04:02:57,219,81,9,219,0,0,0,0,0
102988293558_10152781260053559,Accessory Carnival is Coming Soon on Flipkart! Get ready to shop!,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152781256508559/?type=3,2014-11-10 09:03:17,2233,65,25,2233,0,0,0,0,0
102988293558_10152781038968559,We are present at every step of your journey. http://bit.ly/BridalJourney,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152781032953559/?type=3,2014-11-10 06:05:11,2896,52,14,2896,0,0,0,0,0
102988293558_10152780720688559,Buy today and grab exciting launch day offers!,Introducing Lenovo Vibe X2 exclusively on Flipkart!,link,http://dl.flipkart.com/dl/lenovo-vibe-x2&bannerid=mob_lenovoX2_shopnow_type1_20141110000214?cmpid=content_mobile_launchpostlenovovibex2_nov2014_pagepost_fb,2014-11-10 01:10:13,2524,184,69,2524,0,0,0,0,0
102988293558_10152777628363559,Keep your little one's warm this winter!,Introducing Winter Collection for Infant Wear!,link,http://dl.flipkart.com/dl/baby-care/~casuals-and-winter-collection/pr?p%5B0%5D=sort%3Dfeatured&sid=kyh&cmpid=content_babycare_wintercollection_nov2014_pagepost_fb,2014-11-09 05:30:00,296,60,13,296,0,0,0,0,0
102988293558_10152778586343559,Getting your goods from the comfort of your pillow is a deal you wouldn't want to fore-go. What's on your bedtime shopping wishlist now? http://bit.ly/MobileApp_Fb,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152778585818559/?type=3,2014-11-09 04:10:55,210,61,5,210,0,0,0,0,0
102988293558_10152777621588559,Bring home health and hygiene with Eureka Forbes!,Introducing Eureka Forbes Shopping Store on Flipkart!,link,http://dl.flipkart.com/dl/eurekaforbes?cmpid=content_homeappliancesmall_eurekastore_nov2014_pagepost_fb,2014-11-09 01:29:00,108,53,1,108,0,0,0,0,0
102988293558_10152778341488559,Experience Raw Power with the new Mediatek 6595 Chipset! Coming soon on Flipkart! http://bit.ly/RawPower_VibeX2,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152777015498559/?type=3,2014-11-08 23:30:01,360,62,20,360,0,0,0,0,0
102988293558_10152777046298559,Snap on the battery layer of the world's first layered smart phone and enjoy double the power! Coming soon on Flipkart! http://bit.ly/DoubleBatteryPower,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152776966368559/?type=3,2014-11-08 09:00:02,281,54,3,281,0,0,0,0,0
102988293558_10152776611063559,The way we play might have changed over time... but gaming hasn't! Here's a glance at the way we gamed - then and now! http://bit.ly/ThenNow_Games,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152776610708559/?type=3,2014-11-08 02:33:33,149,41,1,149,0,0,0,0,0
102988293558_10152776544808559,"All that online bird talk just makes our nest that little bit warmer! A big THANK YOU to our 200K followers on Twitter! 

Follow Flipkart on Twitter: http://bit.ly/Flipkart_Twitter",Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152776542893559/?type=3,2014-11-08 01:16:10,177,38,0,177,0,0,0,0,0
102988293558_10152775471683559,Life in the Kitchen Just Got Easier!,Introducing Maharaja Whiteline Shopping Store on Flipkart!,link,http://dl.flipkart.com/dl/maharajawhiteline?cmpid=content_homeappliancesmall_maharajastore_nov2014_pagepost_fb,2014-11-07 23:30:00,88,56,0,88,0,0,0,0,0
102988293558_10152776931413559,Can you guess the 'Finest Toy shop in the world'? Details here:  http://bit.ly/1u9aixL,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152776830278559/?type=3,2014-11-07 18:08:00,2781,82,12,2781,0,0,0,0,0
102988293558_10152775308588559,Browse from over 1 lakh styles in home furnishing! Check out : http://bit.ly/HomeFurnishingCollection,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152775236723559/?type=3,2014-11-07 09:30:01,165,42,1,165,0,0,0,0,0
102988293558_10152775140993559,Enjoy exciting offer on Children's Books! Check out the whole collection: http://bit.ly/Childrens_Week,Timeline Photos,photo,https://www.facebook.com/flipkart/photos/a.397237208558.175559.102988293558/10152775025138559/?type=3,2014-11-07 07:30:01,190,34,7,190,0,0,0,0,0
